; phase               flux
       0.0000000      0.99854215
    0.0058900354      0.99493613
     0.011780071      0.99639055
     0.017670106      0.99724898
     0.023560142      0.99871230
     0.029450148      0.99944109
     0.035340184      0.99705060
     0.041230219      0.99937481
     0.047120226      0.99828558
     0.053010261       1.0000000
     0.058900325      0.99701295
     0.070680338      0.99406687
     0.076570403      0.99407236
     0.082460409      0.99404398
     0.088350473      0.99383892
     0.094240480      0.99293496
      0.10013054      0.99587493
      0.10602052      0.99549527
      0.11191056      0.99345637
      0.11780062      0.99544301
      0.12369063      0.99573094
      0.12958066      0.99381329
      0.13547070      0.99396250
      0.14136073      0.99816239
      0.14725074      0.99589236
      0.15314078      0.99484174
      0.15903078      0.99644837
      0.16492082      0.99408060
      0.17081085      0.99527891
      0.17670092      0.99616665
      0.18259095      0.99418224
      0.19437097      0.99632448
      0.20026100      0.99253722
      0.20615104      0.99459071
      0.21204104      0.99601344
      0.21793111      0.99535133
      0.22382111      0.99518724
      0.22971115      0.99444416
      0.23560116      0.99355703
      0.24149119      0.99437455
      0.24738123      0.99248785
      0.25327126      0.99352775
      0.25916130      0.99325143
      0.26505130      0.99132213
      0.27094134      0.99032832
      0.27683135      0.99101357
      0.28272138      0.98872428
      0.28861142      0.98717739
      0.29450142      0.98709920
      0.30039149      0.98808703
      0.30628149      0.98664473
      0.31217153      0.98765849
      0.31806154      0.98633672
      0.32395160      0.98638850
      0.32984161      0.98411262
      0.33573161      0.98257747
      0.34162168      0.98249421
      0.34751169      0.98291146
      0.35340169      0.97999712
      0.35929176      0.98178592
      0.36518176      0.97775940
      0.37107177      0.97626743
      0.37696180      0.97788008
      0.38285187      0.97658669
      0.38874185      0.97692675
      0.39463188      0.97620359
      0.40052195      0.97442675
      0.40641195      0.97386240
      0.41230196      0.97410461
      0.41819199      0.97154383
      0.42408203      0.97116987
      0.42997204      0.96932899
      0.43586207      0.96915580
      0.44175211      0.97017572
      0.44764211      0.96864625
      0.45353215      0.96643711
      0.45942216      0.96476158
      0.46531219      0.96470382
      0.47120223      0.96544958
      0.47709223      0.96332937
      0.48298227      0.96332670
      0.48887230      0.96369587
      0.49476231      0.96213143
      0.50065232      0.96142276
      0.50654238      0.96207117
      0.51243239      0.96067392
      0.51832239      0.96123328
      0.52421246      0.96069161
      0.53010247      0.96222093
      0.53599250      0.96026257
      0.54188248      0.96224131
      0.54777254      0.96313419
      0.55366258      0.96353168
      0.55955256      0.96305347
      0.56544262      0.96264731
      0.57133266      0.96211725
      0.57722263      0.96331783
      0.58311267      0.96349707
      0.58900270      0.96190105
      0.59489271      0.96199585
      0.60078275      0.96193560
      0.60667278      0.96080134
      0.61256279      0.96360002
      0.61845279      0.96193560
      0.62434283      0.96273952
      0.63023289      0.96208269
      0.63612287      0.96222625
      0.64201291      0.96389117
      0.64790294      0.96228740
      0.65379295      0.96314572
      0.65968298      0.96487088
      0.66557296      0.96183461
      0.67146303      0.96291511
      0.67735303      0.96451370
      0.68324307      0.96299315
      0.68913308      0.96482734
      0.69502311      0.96580622
      0.70091315      0.96532866
      0.70680312      0.96438934
      0.71269319      0.96492509
      0.71858319      0.96343052
      0.72447320      0.96462830
      0.73036324      0.96506908
      0.73625327      0.96506641
      0.74214328      0.96247975
      0.74803329      0.96545848
      0.75392335      0.96513841
      0.75981336      0.96645492
      0.76570336      0.96536333
      0.77159340      0.96639172
      0.77748343      0.96642020
      0.78337341      0.96605711
      0.78926345      0.96723766
      0.79515348      0.96931738
      0.80104349      0.96796399
      0.80693350      0.96688050
      0.81282356      0.96907011
      0.81871354      0.96829837
      0.82460357      0.97200746
      0.83049358      0.97089262
      0.83638361      0.96988535
      0.84227365      0.97159037
      0.84816366      0.97330914
      0.85405372      0.97485315
      0.85994370      0.97569392
      0.86583373      0.97715712
      0.87172371      0.97788639
      0.87761375      0.97812239
      0.88350378      0.98081523
      0.88939376      0.98205633
      0.89528382      0.98222911
      0.90117383      0.98245078
      0.90706387      0.98435738
      0.91295384      0.98845021
      0.91884391      0.98576637
      0.92473391      0.98750295
      0.93062392      0.98539147
      0.93651396      0.99020702
      0.94240399      0.99048066
      0.94829397      0.98859134
      0.95418401      0.98937743
      0.96007404      0.99320844
      0.96596405      0.99529907
      0.97185405      0.99305842
      0.97774412      0.99648600
      0.98363410      0.99666407
      0.98952410      0.99590703
      0.99541414      0.99752824
