; Kepler light curve for kplr005110407.
; Quarter 02
; CBVs have been removed.
; Column 1:  Time from the Kepler .fits files (MBJD)
; Column 2:  Normalized flux with CBVs removed
; Column 3:  Errors on the original SAP data
    169.7655486       2105.7285       2.3116238
    169.7859829       2105.8873       2.3117290
    169.8064171       2106.5128       2.3116400
    169.8268515       2105.6050       2.3115766
    169.8472857       2104.0688       2.3115363
    169.8677201       2110.6808       2.3122401
    169.8881543       2110.1910       2.3122337
    169.9085885       2105.4497       2.3115885
    169.9290229       2109.3798       2.3120573
    169.9494571       2110.1220       2.3121831
    169.9698914       2106.4895       2.3117342
    169.9903258       2107.0434       2.3117781
    170.0107600       2115.0903       2.3129444
    170.0311942       2110.2629       2.3122733
    170.0516285       2109.0234       2.3120782
    170.0720628       2112.8049       2.3126452
    170.1129313       2110.2722       2.3122151
    170.1333657       2112.4576       2.3125205
    170.1538000       2107.2708       2.3116112
    170.1946684       2111.8633       2.3121862
    170.2151027       2104.9364       2.3113368
    170.2355370       2108.5652       2.3117428
    170.2559713       2111.6151       2.3121638
    170.2764056       2109.8727       2.3119204
    170.2968398       2110.7389       2.3119452
    170.3172741       2108.7867       2.3117459
    170.3377084       2106.5868       2.3115211
    170.3785769       2104.9448       2.3112581
    170.3990112       2107.2626       2.3115377
    170.4194456       2106.7131       2.3114762
    170.4398797       2102.8797       2.3110721
    170.4603140       2101.1052       2.3108773
    170.4807482       2102.1259       2.3108926
    170.5011826       2097.4050       2.3100288
    170.5216168       2094.1868       2.3098292
    170.5420510       2093.5695       2.3096783
    170.5624854       2096.1632       2.3099687
    170.5829197       2092.5151       2.3095586
    170.6033539       2095.1456       2.3097548
    170.6237881       2092.3232       2.3095477
    170.6442225       2092.6481       2.3094311
    170.6646567       2087.9126       2.3088233
    170.6850909       2084.6596       2.3085432
    170.7055253       2084.8768       2.3085668
    170.7259596       2084.9768       2.3084388
    170.7463937       2080.0819       2.3077686
    170.7668281       2082.7480       2.3082819
    170.7872624       2074.6581       2.3070548
    170.8076965       2071.6112       2.3067787
    170.8281308       2074.7479       2.3070290
    170.8485652       2071.4804       2.3066921
    170.8689993       2073.7116       2.3067553
    170.8894336       2070.8715       2.3065445
    170.9098680       2067.7921       2.3060300
    170.9303023       2066.1634       2.3060627
    170.9507364       2067.0407       2.3059030
    170.9711707       2061.2256       2.3052096
    170.9916051       2059.7664       2.3049560
    171.0120392       2057.1968       2.3046281
    171.0324735       2056.7881       2.3049393
    171.0529079       2059.5801       2.3048563
    171.0733420       2055.7832       2.3043282
    171.0937763       2051.4082       2.3036482
    171.1142106       2045.5246       2.3031766
    171.1550791       2048.9358       2.3034635
    171.1755134       2044.4530       2.3027990
    171.1959476       2043.5238       2.3025484
    171.2163819       2045.7489       2.3030291
    171.2368162       2042.0633       2.3024759
    171.2776847       2041.0813       2.3023007
    171.2981190       2039.0750       2.3021257
    171.3185531       2040.8572       2.3022182
    171.3389875       2038.5303       2.3019798
    171.3594217       2042.0846       2.3024464
    171.3798560       2038.7628       2.3018920
    171.4002902       2042.6315       2.3024127
    171.4207245       2044.3892       2.3026025
    171.4411588       2044.4321       2.3027070
    171.4820273       2042.7323       2.3024108
    171.5024616       2042.7992       2.3024874
    171.5228957       2044.8273       2.3028183
    171.5433300       2044.8661       2.3027306
    171.5637644       2041.9051       2.3022811
    171.5841985       2041.8321       2.3023627
    171.6046328       2041.7770       2.3022113
    171.6250671       2039.5073       2.3021472
    171.6455013       2045.9404       2.3028624
    171.6659356       2041.9602       2.3022528
    171.6863698       2043.9960       2.3024514
    171.7068042       2043.0423       2.3023868
    171.7272383       2043.7168       2.3025844
    171.7476726       2046.1179       2.3028181
    171.7681070       2043.9261       2.3026056
    171.7885411       2044.6868       2.3029392
    171.8089754       2048.6570       2.3030996
    171.8294095       2042.3988       2.3024213
    171.8498439       2044.0526       2.3027194
    171.8702782       2048.3801       2.3030860
    171.8907124       2044.1573       2.3026693
    171.9315809       2050.1452       2.3033323
    171.9520152       2050.3016       2.3032727
    171.9724493       2047.7208       2.3031371
    171.9928837       2049.0738       2.3032987
    172.0133180       2045.7710       2.3027999
    172.0337521       2048.1745       2.3031099
    172.0541865       2049.4916       2.3033626
    172.0746207       2049.0237       2.3032990
    172.0950549       2044.1207       2.3027451
    172.1154891       2050.2014       2.3034432
    172.1359235       2049.0462       2.3032362
    172.1563577       2052.7173       2.3039455
    172.1767919       2050.0950       2.3033760
    172.1972262       2051.9551       2.3037508
    172.2176605       2053.4502       2.3038564
    172.2380947       2051.7539       2.3036547
    172.2585289       2053.8569       2.3038638
    172.2789633       2058.6048       2.3045988
    172.2993974       2056.3411       2.3042228
    172.3198317       2053.7212       2.3040164
    172.3402660       2057.3507       2.3045807
    172.3607002       2057.0041       2.3044477
    172.3811344       2064.2953       2.3053408
    172.4015687       2062.4458       2.3054192
    172.4220029       2060.4004       2.3049798
    172.4424372       2064.1146       2.3052859
    172.4628714       2067.3279       2.3059137
    172.4833058       2070.8927       2.3066492
    172.5037399       2072.7640       2.3065691
    172.5241742       2076.0992       2.3069890
    172.5446083       2077.3580       2.3072362
    172.5650427       2077.8738       2.3072650
    172.5854769       2083.9341       2.3083198
